formula,band_gap,energy_above_hull,formation_energy,volume,density,nsites,spacegroup_number
KGeCl3,1.4859,0.02822289300000369,-1.62745762845,153.00083795544327,2.3670398954379155,5,8
InGeCl3,2.2217000000000002,0.029272844750001248,-1.1767100283333325,173.3398215635561,2.8146712233344373,5,8
KGeCl3,2.893020835482666,0.0,-1.6556805214500017,313.5309319788258,2.3101968612170243,10,161
TlGeCl3,1.3779,0.032765106000001154,-1.2512993896666682,151.03928858108335,4.214938334674733,5,8
GeNCl3,1.1093,1.1723420846666661,0.0783387574999999,706.4037953461383,1.8147892606789335,20,62
CsGeCl3,2.1558,0.0,-1.7102095289310353,162.92527551742106,3.1789390964979427,5,160
Ge19(PCl)4,1.6622999999999997,0.0,-0.29142060457671976,1162.487685735453,4.702030944479153,54,218
Cs2GeCl6,2.2322,0.0,-1.8067913015900348,276.3428926846074,3.31196322598489,9,225
CsPbI2Br,1.4384,0.18755340616666683,-1.1993876209310343,242.33084912816582,4.617248563822033,5,123
Pb3BrO3,0.6278000000000001,0.16577327040178957,-1.2548616421428558,693.9614541086438,7.173756859104425,28,26
B3Pb6BrO10,2.8245000000000005,0.007572932035719404,-2.0096122534999994,1432.797630071289,7.025691229079383,80,57
SbPbBrO2,1.8655,0.03820737215624437,-1.5196689809999988,207.1984593948095,7.0663643501183575,10,63
Pb2BrOF,2.3349292574336347,0.03725085965625219,-1.7480213039999992,231.42833598284025,7.595667312999863,10,67
RePbBrO4,2.916003168830709,0.09139210196428582,-1.841604808214285,271.2585311975452,6.578387919655467,14,31
Fe3Pb4BrO8,1.2332999999999998,0.08584419471679716,-1.4787218790624985,249.06472851353024,8.028747985168804,16,123
As3Pb5BrO12,2.9898,0.0009875043452494126,-1.701114305357142,725.1646970113687,7.019217776933609,42,176
SbPbBrO2,1.423,0.1040774341562436,-1.4537989189999991,100.51255489684354,7.283367776142895,5,107
Pb12BrCl7O8,2.7313999999999994,0.12599601071428523,-1.3847267694642855,703.7847470504985,6.942586844500416,28,6
